epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.057,1.58077,1.73001,1.06522,0.88267,0.94949,0.95834,0.53388,1.49848,0.87969,1.0608,0.000664112,0.000664112,0.000664112
2,298.776,1.46702,0.8983,1.02482,0.87999,0.94949,0.93236,0.56225,1.44465,0.86526,1.03762,0.00126491,0.00126491,0.00126491
3,470.053,1.44111,0.82317,1.00031,0.77234,0.90909,0.77173,0.4447,1.43668,0.88069,1.01277,0.0017997,0.0017997,0.0017997
4,636.526,1.34358,0.74446,0.97165,0.95872,0.93848,0.95716,0.62465,1.31802,0.71753,0.99189,0.001703,0.001703,0.001703
5,810.361,1.30283,0.7275,0.96272,0.96787,0.9697,0.97714,0.61523,1.38473,0.71544,0.99842,0.001604,0.001604,0.001604
6,982.388,1.28039,0.68703,0.95601,0.8018,0.91919,0.83435,0.51994,1.29664,0.75307,0.98307,0.001505,0.001505,0.001505
7,1149.78,1.225,0.65085,0.92885,0.96801,0.9899,0.98577,0.65056,1.22722,0.62721,0.9532,0.001406,0.001406,0.001406
8,1319.36,1.24616,0.65221,0.94574,0.49739,0.93939,0.49466,0.32237,1.20179,1.32231,0.95243,0.001307,0.001307,0.001307
9,1486.92,1.15661,0.59572,0.91385,0.95164,0.94949,0.96092,0.62868,1.23301,0.58973,0.96802,0.001208,0.001208,0.001208
10,1654.33,1.11646,0.56119,0.92045,0.79832,0.94949,0.80886,0.54302,1.15296,0.58658,0.93123,0.001109,0.001109,0.001109
11,1820.16,1.15046,0.57139,0.9263,0.93835,0.9798,0.98399,0.66808,1.19888,0.59005,0.94425,0.00101,0.00101,0.00101
12,1984.88,1.11834,0.54497,0.91481,1,0.9677,0.99394,0.68531,1.16379,0.55104,0.93832,0.000911,0.000911,0.000911
13,2150.49,1.10991,0.53185,0.92136,0.973,0.9697,0.98507,0.66578,1.1444,0.53407,0.93521,0.000812,0.000812,0.000812
14,2316.34,1.05318,0.50645,0.91251,0.98754,0.9899,0.99231,0.68689,1.16726,0.54463,0.93376,0.000713,0.000713,0.000713
15,2486.14,1.03009,0.48887,0.89999,0.98848,0.9899,0.99099,0.6981,1.1104,0.51974,0.92677,0.000614,0.000614,0.000614
16,2658.89,1.02546,0.48619,0.89623,0.98999,0.99889,0.9947,0.72453,1.05276,0.48171,0.91661,0.000515,0.000515,0.000515
17,2832.91,1.01758,0.4868,0.89548,0.97881,1,0.9946,0.71888,1.11274,0.48516,0.92487,0.000416,0.000416,0.000416
18,3005.48,0.98801,0.4535,0.8939,0.98853,0.9899,0.9903,0.72447,1.08279,0.47477,0.9193,0.000317,0.000317,0.000317
19,3179.39,0.94108,0.43193,0.88799,0.9893,0.9899,0.99452,0.72914,1.08468,0.47098,0.92202,0.000218,0.000218,0.000218
20,3353.51,0.91994,0.4232,0.87469,0.97726,0.9899,0.98979,0.73876,1.05321,0.45476,0.91566,0.000119,0.000119,0.000119
